t=2026-01-10T13:05:39+0100 lvl=info msg="no configuration paths supplied"
t=2026-01-10T13:05:39+0100 lvl=warn msg="ngrok config file found at legacy location, move to XDG location" xdg_path="/Users/fabulous/Library/Application Support/ngrok/ngrok.yml" legacy_path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="using configuration at default config path" path=/Users/fabulous/.ngrok2/ngrok.yml
t=2026-01-10T13:05:39+0100 lvl=info msg="open config file" path=/Users/fabulous/.ngrok2/ngrok.yml err=nil
t=2026-01-10T13:05:39+0100 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-01-10T13:05:40+0100 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-10T13:05:40+0100 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-10T13:05:41+0100 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://1f323d8cbbd9.ngrok-free.app
t=2026-01-10T13:05:43+0100 lvl=info msg="update available" obj=updater
t=2026-01-10T13:05:49+0100 lvl=info msg=start pg=/api/tunnels id=c99737d081549178
t=2026-01-10T13:05:49+0100 lvl=info msg=end pg=/api/tunnels id=c99737d081549178 status=200 dur=783.524µs
t=2026-01-10T13:06:07+0100 lvl=info msg="join connections" obj=join id=925e06087645 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:08+0100 lvl=info msg="join connections" obj=join id=b8b1e14c5e7b l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:08+0100 lvl=info msg="join connections" obj=join id=a22fcbb37945 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:08+0100 lvl=info msg="join connections" obj=join id=c39567a96433 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=e3f1cf83d61a l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=169f091583af l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=6d9cac224b58 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=88f34f4f0f3e l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=ce4c834a66be l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=ab0ae9576f51 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=0a4df0701a17 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=b113969ca083 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=e83f49f11cad l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=34de06766163 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=71ebc0fa0850 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=a71f7385f193 l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=21ced9f0075e l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:09+0100 lvl=info msg="join connections" obj=join id=9a3188b3d02d l=[::1]:3000 r=105.112.10.109:20548
t=2026-01-10T13:06:11+0100 lvl=info msg="join connections" obj=join id=dd5bbb6888bc l=[::1]:3000 r=105.112.10.109:20550
